name,id,stat
Muse Dash 喵斯快跑,60809,9.2
原神,168332,8.6
Phigros,165287,9.7
部落与弯刀,131263,8.7
泰拉瑞亚,194610,9.3
我的游戏天赋,223782,9.1
一念逍遥,159465,7.0
九重试炼,232820,8.1
当代人生,228286,8.4
战双帕弥什,130651,8.6
香肠派对,58881,9.0
我的世界,43639,6.2
T3,205608,7.6
和平精英,70056,7.2
王者荣耀,2301,5.7
枪火重生,229870,8.0
金铲铲之战,176937,8.2
重生细胞,171015,8.8
深空之眼,213181,8.5
英雄联盟手游,176911,8.0
太空杀,219923,7.0
派对之星,202514,7.6
魔兽之旅,235503,7.7
枪战特训2：激战,235420,7.6
蛋仔派对,206776,7.5
我想成为创造者,144287,9.7
元气骑士,34751,7.9
艾希,11190,9.7
使命召唤手游,139301,7.9
球球大作战,6239,7.0
光·遇,62448,7.6
崩坏3,10056,6.4
人工桌面,203129,8.6
明日方舟,70253,8.1
墨斗,131453,7.8
三国志幻想大陆,188743,8.0
傲剑苍穹,229517,9.2
植物大战僵尸2,54031,6.6
贪吃的苹果蛇,235797,6.4
魔镜物语,220640,8.3
武侠乂,152653,6.6
你了解自己吗,80109,8.3
傲娇壁纸,228716,9.0
迷雾侦探,85109,9.7
第五人格,49995,7.9
海底大猎杀,212054,4.8
我的勇者,77796,6.3
月圆之夜,58885,9.6
只兔,207444,8.0
王牌战士,85108,8.0
我的健身教练2,183434,8.9
弈剑行,158750,8.9
辐射 避难所,33189,8.5
王牌竞速,190867,6.9
楼下的早餐店,193324,9.1
荒野乱斗,156066,5.4
人类跌落梦境,71417,7.8
火影忍者,2247,6.7
迷途深渊,225011,8.8
无极仙途,186039,9.0
同步音律,6908,8.9
梦魇：无归,234878,9.1
幻塔,192675,5.8
胖鸭奶茶店,229247,8.5
转生成为魔物,230525,9.3
天谕,91974,7.6
QQ飞车,55618,7.2
斗罗大陆：魂师对决,211270,7.2
如果有一个按钮,235804,8.9
时空中的绘旅人,173797,9.0
决战！平安京,61620,6.3
魂器学院,42949,8.5
地铁跑酷,4,7.3
你已经猜到结局了吗,215953,9.2
2048清,200184,9.9
哈利波特:魔法觉醒,177635,6.1
真实公路汽车2,223635,5.7
明日之后,59520,6.8
炉石传说,213,6.3
虫鸣,224385,7.6
勇者活下去（测试服）,235648,6.7
开间小店,216696,7.1
修仙家族模拟器,226797,9.0
逃跑吧！少年,99224,7.8
浣熊不高兴,231197,8.0
碧蓝航线,31597,9.4
机动都市阿尔法,79661,7.3
扫雷F,151528,9.1
纪念碑谷2,52276,8.7
航海王热血航线,195514,7.5
音乐世界 Cytus II,153415,9.1
猫和老鼠,70882,6.5
逃离克里夫,224120,4.5
Orzmic,194778,8.8
灵魂宝戒,176192,8.8
渡劫模拟器,232098,8.6
纸嫁衣3鸳鸯债,225975,9.6
穿越火线：枪战王者,2318,6.2
房间的秘密,231220,9.4
未知：升变,230720,8.3
放置文明,229932,9.2
狂野飙车9：竞速传奇,165536,6.3
无尽的拉格朗日,214603,5.8
灵魂潮汐,171371,8.4
纸嫁衣,203666,9.2
无悔华夏,176581,7.4
保卫萝卜3,7806,7.4
漫威超级战争,214159,6.3
小动物之星,187384,8.7
生存闯关（测试服）,214602,7.5
暗魔领主,197372,8.7
江南百景图,179371,6.5
失落城堡,67396,8.6
非人学园,64403,7.4
聚爆Implosion,6764,8.5
坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,149161,8.4
不一样传说,198967,9.1
阿瑞斯病毒,83595,8.5
冒险日记,224007,9.0
道友请留步,14461,8.7
鬼畜钢琴,186768,9.6
世界弹射物语,218693,8.9
口袋奇兵,203580,6.0
转生哥布林杀穿异世界,236179,8.0
忍者必须死3,79068,5.9
最强蜗牛,187376,6.3
人生模拟器：中国式人生,180918,5.9
僵尸世界战争：新世界,217393,5.9
机动战队大作战,7157,7.6
叫我大掌柜,195701,7.9
冒险之心（测试服）,224442,7.4
万国觉醒,82921,7.5
猛鬼宿舍,227077,5.8
觉醒大陆,226877,7.9
超自然侦探社,222365,8.0
上古王冠,204923,8.6
邂逅在迷宫,67245,8.9
混搭修仙,231457,9.2
一梦江湖,50500,7.7
部落冲突：皇室战争,10498,6.4
我的属性-人类能力测试器,213413,9.1
动物夜市（测试服）,236271,8.0
纸嫁衣2奘铃村,213906,9.5
躲猫猫大乱斗,181054,7.5
活下去,37121,9.3
异世界转生模拟器,223774,7.6
阴阳师,12492,7.8
雷电傲气雄鹰,61333,6.3
乐高®无限（共创测试版）,82246,7.4
梦幻新诛仙,175450,7.0
